ID,SKU,Nombre,"¿En stock?",Stock,Oferta,"Precio normal",Img,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3"
12338,,"Etiquetas de vinilo PARA PLANCHAR - DINOSAURIOS",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/dinos-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12354,,"Etiquetas de vinilo PARA PLANCHAR - TEEN",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/dinos-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12362,,"Etiquetas de vinilo PARA PLANCHAR - LLAMAS",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/dinos-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12372,,"Etiquetas de vinilo PARA PLANCHAR - BOSQUE",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/BOSQUE-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12384,,"Etiquetas de vinilo PARA PLANCHAR - NAUTICA",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/NAUTICA-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12393,,"Etiquetas de vinilo PARA PLANCHAR - ESTRELLAS PASTEL",1,,,7999,,"Cantidad","11 Etiquetas",,0,,,,,,,,
12401,,"Etiquetas de vinilo PARA PLANCHAR - TRANSPORTES",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/TRANSPORTES-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12410,,"Etiquetas de vinilo PARA PLANCHAR - EMOJIS",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/TRANSPORTES-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12432,,"Etiquetas de vinilo PARA PLANCHAR - BASKET",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/BASKET-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12445,,"Etiquetas de vinilo PARA PLANCHAR - UNICORNIO",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/UNICORNIO-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
12648,,"Etiquetas de vinilo PARA PLANCHAR - GRANJA",1,,,7999,https://etiquecosas.ar/wp-content/uploads/2021/08/granja-11-etiquetas.jpg,"Cantidad","11 Etiquetas",,0,,,,,,,,
13577,,"Etiquetas personalizadas para dedicar regalos",1,,,9500,https://etiquecosas.ar/wp-content/uploads/2021/10/mix-personajes.jpg,"Seleccionar DISEÑOS","MIX DE PERSONAJES",,0,,,,,,,,
13858,,"Vinilo para teclado - MEDIDA PERSONALIZADA",1,,,11725,,"SELECCIONAR DISEÑO",BLACK,,0,,,,,,,,
14451,,"Etiquetas de vinilo PARA PLANCHAR - ESTRELLAS BLUE",1,,,7999,,"Cantidad","11 Etiquetas",,0,,,,,,,,
28777,,"SOUVENIR. 8 planchas personalizadas de stickers para jugar y decorar",1,,,9500,https://etiquecosas.ar/wp-content/uploads/2021/10/personajes.png,"Modelo","MIX PERSONAJES",,0,,,,,,,,
30391,,"Vianda lunchera infantil con formas CONEJO / OSO",0,0,,8650,https://etiquecosas.ar/wp-content/uploads/2022/06/WhatsApp-Image-2022-06-23-at-2.25.45-PM-1.jpeg,"Modelo",CONEJO,,0,,,,,,,,
30571,,"SOUVENIR: Pack de letras iniciales adhesivas",1,,,8100,https://etiquecosas.ar/wp-content/uploads/2022/06/aqua.jpg,"Cantidad","15 LETRAS",,0,"color",AQUA,,0,,,,
30736,,"DECORACIÓN CUMPLE | PERRITOS",0,0,,1275,https://etiquecosas.ar/wp-content/uploads/2022/07/vasos-perros.jpeg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30746,,"DECORACIÓN CUMPLE | WOODLAND",1,4,1990,2690,https://etiquecosas.ar/wp-content/uploads/2022/07/vaso-woodland.jpeg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30756,,"DECORACIÓN CUMPLE | LLAMAS",0,0,1148,1275,https://etiquecosas.ar/wp-content/uploads/2021/08/vaso-llamas.jpg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30773,,"DECORACIÓN CUMPLE | BOSQUE",0,0,1148,1275,https://etiquecosas.ar/wp-content/uploads/2021/05/vasos-bosque.jpg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30783,,"DECORACIÓN CUMPLE | ESPACIO",1,3,440,490,https://etiquecosas.ar/wp-content/uploads/2021/05/vaso-espacio.jpg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30796,,"DECORACIÓN CUMPLE | SIRENAS",1,1,1990,2690,https://etiquecosas.ar/wp-content/uploads/2021/05/vasos-sirenas.jpg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30806,,"DECORACIÓN CUMPLE | CISNES",0,0,,1275,https://etiquecosas.ar/wp-content/uploads/2021/08/vaso-cisnes.jpg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30823,,"DECORACIÓN CUMPLE | SELVA",0,0,1148,1275,https://etiquecosas.ar/wp-content/uploads/2021/08/vaso-safari.jpg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30877,,"DECORACIÓN CUMPLE | GRANJA",1,5,1990,2690,https://etiquecosas.ar/wp-content/uploads/2022/07/granja-vasos.png,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30888,,"DECORACIÓN CUMPLE | DINOSAURIOS",0,0,1990,2690,https://etiquecosas.ar/wp-content/uploads/2022/07/dinos-vasos.png,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30900,,"DECORACIÓN CUMPLE | TRANSPORTES",0,0,1990,2690,https://etiquecosas.ar/wp-content/uploads/2022/07/vaso-transportes.jpeg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
30910,,"DECORACIÓN CUMPLE | FLORES",0,0,,1275,https://etiquecosas.ar/wp-content/uploads/2022/07/vasos-flores-doily.jpeg,SELECCIONAR,"VASOS X 8",,0,,,,,,,,
31351,,"Invitación tarjeta Digital - Ideal Whatsapp",1,,,2500,https://etiquecosas.ar/wp-content/uploads/2022/08/invitacion-celu-woodland-scaled.jpg,"SELECCIONAR DISEÑO",WOODLAND,,0,,,,,,,,
31369,,"Etiquetas cierra bolsas - 5 cm",1,,,9500,https://etiquecosas.ar/wp-content/uploads/2021/05/circulos-web-espacio-5cm.jpg,"SELECCIONAR DISEÑO",WOODLAND,,0,,,,,,,,
31371,,"Etiquetas para cumpleaños - 3,5 cm",1,,,9500,https://etiquecosas.ar/wp-content/uploads/2021/05/circulos-web-espacio-5cm.jpg,"SELECCIONAR DISEÑO",WOODLAND,,0,,,,,,,,
31916,,"Sellos MOTIVADORES con tintas de colores",1,,,16499,https://etiquecosas.ar/wp-content/uploads/2022/08/que-genial.jpg,"SELECCIONAR FRASE","¡ESTA GENIAL! (violeta)",,0,,,,,,,,
32245,,"Combo CAMPAMENTO",1,,,40899,https://etiquecosas.ar/wp-content/uploads/2020/01/neutro.jpg,"Etiqueta",,,0,"Seleccionar TAG",,,0,,,,
32872,,"Letras iniciales adhesivas | COLOR AQUA",1,,,900,,"SELECCIONAR LETRA",A,,0,,,,,,,,
32924,,"Letras iniciales adhesivas | COLOR CHERRY",1,,,900,,"SELECCIONAR LETRA",A,,0,,,,,,,,
32954,,"Letras iniciales adhesivas | COLOR MOSTAZA",0,,,900,,"SELECCIONAR LETRA",A,,0,,,,,,,,
33106,,"Etiquetas decorativas HALLOWEEN",1,3,,500,https://etiquecosas.ar/wp-content/uploads/2022/10/fantasma.jpg,"Modelo",FANTASMA,,0,,,,,,,,
33697,,"Etiquetas de vinilo PARA PLANCHAR - LISAS SIN DIBUJO",1,,,7999,,"Cantidad","11 Etiquetas",,0,"Modelo",,,0,,,,
34099,,"Etiquetas de vinilo PARA PLANCHAR - SIMONES",1,,,7999,,"Cantidad","11 Etiquetas",,0,,,,,,,,
34531,,"Sello personalizado REDONDO",1,,,39990,,"Modelo",ELEFANTE,,0,,,,,,,,
44742,,"ETIQUETAS PARA ALERGIAS",1,,,3671,https://etiquecosas.ar/wp-content/uploads/2022/12/sin-tacc-sofi-chas.jpg,"SELECCIONAR ALERGIA",CELIAQUIA,,0,,,,,,,,
49445,,"Cinta para Rotuladora estilo Vintage",1,13,,5870,https://etiquecosas.ar/wp-content/uploads/2023/04/800608.jpg,"color",AZUL,,0,,,,,,,,
51864,,"Etiquetas para frascos PETITE",0,0,,4101,,"SELECCIONAR OPCION",PREDETERMINADA,,0,,,,,,,,
52291,,"SOUVENIR - Tags con nombres personalizados",1,,,,,"SELECCIONAR COMBINACIÓN DE COLOR","Fondo FUCSIA - Letra ROSA",,0,,,,,,,,
52622,,"Test producto fancy product",1,,,4000,,Color,rojo,,0,,,,,,,,
52823,,"Bandas de silicona personalizadas. 2 unidades",1,,,19999,,"color BANDA 1",FUCSIA,,0,"color BANDA 2",,,0,"SELECCIONAR DIBUJO",,,0
52955,,"Banda de silicona personalizada. 1 unidad",1,,,10999,,"color",ROSA,,0,"SELECCIONAR DIBUJO",,,0,,,,
53085,,"Planificador Semanal - LOLA",1,3,,5880,https://etiquecosas.ar/wp-content/uploads/2023/06/planner-Lola.jpg,"SELECCIONAR OPCION","Planificador semanal",,0,,,,,,,,
55352,,"Combo PILETA - 7 a 13 años",0,0,,17800,https://etiquecosas.ar/wp-content/uploads/2023/11/antiparras-amarilla-youth.jpeg,"COLOR ANTIPARRA",AMARILLA,,0,,,,,,,,
55435,,"Tag con nombre personalizado - MAYÚSCULA",1,,,21530,,"SELECCIONAR MEDIDA","NOMBRE Y APELLIDO (hasta 18 letras) grabado en 2 lineas",,0,"SELECCIONAR COMBINACIÓN DE COLOR",,,0,,,,
55441,,"Combo PILETA - 3 a 7 años",0,0,,13900,https://etiquecosas.ar/wp-content/uploads/2023/11/Antiparras-child-azul.jpg,"COLOR ANTIPARRA",AZUL,,0,,,,,,,,
55510,,"Antiparras - 7 a 13 años",1,4,,4000,https://etiquecosas.ar/wp-content/uploads/2023/11/antiparras-amarilla-youth.jpeg,"color","AMARILLO Y TURQUESA",,0,,,,,,,,
55520,,"Antiparras - 3 a 7 años",1,1,,3500,https://etiquecosas.ar/wp-content/uploads/2023/11/Antiparras-child-verde.jpg,"color",VERDE,,0,,,,,,,,
55547,,"Tag con nombre personalizado - MINÚSCULA",1,,,21530,,"SELECCIONAR MEDIDA","NOMBRE Y APELLIDO (hasta 18 letras) grabado en 2 lineas",,0,"SELECCIONAR COMBINACIÓN DE COLOR",,,0,,,,
55566,,"Tag con nombre personalizado - CURSIVA",1,,,21530,,"SELECCIONAR MEDIDA","NOMBRE Y APELLIDO (hasta 18 letras) grabado en 2 lineas",,0,"SELECCIONAR COMBINACIÓN DE COLOR",,,0,,,,
56203,,"Etiquetas de vinilo PARA PLANCHAR - AIRE",1,,,7999,,"Cantidad","11 Etiquetas",,0,,,,,,,,
56214,,"Etiquetas temáticas SIN DIBUJO",1,,,10890,https://etiquecosas.ar/wp-content/uploads/2023/12/tematicas-sindibujo-multicolor.jpg,"Modelo","Sin dibujo MULTICOLOR",,0,,,,,,,,
56459,,"Botella térmica - 500 ml",1,1,,55600,https://etiquecosas.ar/wp-content/uploads/2023/12/botella-lavanda.jpg,"color",LAVANDA,,0,,,,,,,,
56686,,"COMBO etiquetas temáticas + sello universal",1,,,44135,https://etiquecosas.ar/wp-content/uploads/2021/01/tematicas-AIRE.jpg,"Temático",AIRE,,0,,,,,,,,
59036,,"Etiquetas SUPER MAXI",1,,,10890,,"Temático","sin dibujo MULTICOLOR",,0,,,,,,,,
67656,,"Etiquetas de vinilo planchables - 11 unidades",1,,,5164.71,,"Modelo",AIRE,,0,,,,,,,,
68171,,"Porta lápiz personalizado",1,,,16900,,"SELECCIONAR MEDIDA","CHICO (nombre de hasta 4 letras)",,0,"color",,,0,,,,
68245,,"Porta chupetes de silicona personalizado",0,0,,13900,https://etiquecosas.ar/wp-content/uploads/2024/05/porta-chupetes-nombre.jpg,Color,"Verde agua",,1,,,,,,,,
68788,,"Producto prueba 1 - Rojo, Chico",1,,,4250,,Color,Rojo,,1,Tamaño,Chico,,1,,,,
68865,,"Etiquetas para frascos VINTAGE - Orégano, albahaca, Ají molido, laurel, pimentón",1,41,,1000,https://etiquecosas.ar/wp-content/uploads/2024/06/foto-800-px-frasco-vintage-04.png,"Modelo","Orégano\, albahaca\, Ají molido\, laurel\, pimentón",,0,,,,,,,,
68892,,"Etiquetas para frascos CHAPLIN VINTAGE - Orégano, albahaca, Ají molido, laurel, pimentón, adobo para pizza",0,0,,1000,https://etiquecosas.ar/wp-content/uploads/2024/06/oregano.png,"Modelo","Orégano\, albahaca\, Ají molido\, laurel\, pimentón\, adobo para pizza",,0,,,,,,,,
69059,,"Etiquetas para FREEZER + marcador permanente",1,150,,4595,https://etiquecosas.ar/wp-content/uploads/2020/06/portada.jpg,Cantidad,"20 Etiquetas",,1,,,,,,,,
69120,,"Identificador de mochila - Escribí vos",1,,,3000,https://etiquecosas.ar/wp-content/uploads/2022/06/tag_futbol.jpg,Modelo,"CANCHITA FUTBOL",,1,,,,,,,,
69180,,"Pins para Crocs",0,0,,3505,https://etiquecosas.ar/wp-content/uploads/2024/06/pin-anteojos.jpg,"PINS PARA CROCS",anteojos,,1,,,,,,,,
70229,,"Set de tatuajes temporales - La Dot",1,9,,34600,https://etiquecosas.ar/wp-content/uploads/2024/08/fotos-800-px-web-set-4.png,Modelo,"Set Flor grande",,1,,,,,,,,
70523,,"Nombres transfer con relieve x 4 - DÚO",1,,,7964,https://etiquecosas.ar/wp-content/uploads/2024/08/nombres-transfer-duo-1.jpg,Color,"turquesa - rosa - lila - verde claro",,1,,,,,,,,
70625,,"SOUVENIR - Stickers universos ilustrados",1,,43920,87840,,Cantidad,"20 souvenirs",,1,,,,,,,,
71039,,"Botella personalizada con nombre transfer",0,0,,58961,,"COLOR BOTELLA",Sun,,0,"COLOR NOMBRE",,,0,,,,
71667,,"SOUVENIR –  Nombres transfer con relieve",1,,,38009,,Cantidad,"Entre 10 y 20 nombres",,0,Color,,,1,Tipografía,,,0
71873,,"Contenedor plegable apilable Ay-Kasa Mini",1,2,,27995,https://etiquecosas.ar/wp-content/uploads/2024/10/verde-musgo-minibox.jpg,"color","Verde musgo",,0,,,,,,,,
72235,,"COMBO UNIVERSOS | pins + etiquetas",1,,,8799,https://etiquecosas.ar/wp-content/uploads/2022/10/combo-pins-universo-surf2.jpg,"Seleccionar opción","UNIVERSO SURF",,0,,,,,,,,
72429,,"Vinilo mural mágico RAINBOW",1,4,,64897,https://etiquecosas.ar/wp-content/uploads/2024/10/Fotomontaje-Rainbow-tonos-azules-zoom.jpg,Color,"Tonos azules",,1,,,,,,,,
72435,,"Vinilo mural mágico LUNARES",1,4,,64897,https://etiquecosas.ar/wp-content/uploads/2024/10/Sobre-Lunares-verde-claro-etiquecosas.jpg,Color,"Tonos verdes",,1,,,,,,,,
72481,,"Vinilo mural mágico CASITAS",1,4,,64897,https://etiquecosas.ar/wp-content/uploads/2024/10/Fotomontaje-casita-gris-azul-lineal-zoom.jpg,Color,"Tonos azules",,1,,,,,,,,
73527,,"Botella térmica - 350 ml",1,12,,52400,https://etiquecosas.ar/wp-content/uploads/2024/11/botella-urban-blue-3.jpg,"Modelo","URBAN BLUE",,0,,,,,,,,
73980,,"Tapa sorbetes",1,19,,3501,https://etiquecosas.ar/wp-content/uploads/2024/12/fotos-800-px-web-ARCOIRIS-CORAZON.png,"SELECCIONAR TAPA SORBETES","Arcoiris corazón",,1,,,,,,,,
74009,,"Tapa sorbetes",1,36,,3501,https://etiquecosas.ar/wp-content/uploads/2024/12/fotos-800-px-web-ARCOIRIS.png,"SELECCIONAR TAPA SORBETES",Arcoiris,,1,,,,,,,,
74535,,"COMBO etiquetas super mini + sello universal",1,,,44135,https://etiquecosas.ar/wp-content/uploads/2020/01/gama1.jpg,"Color","ROJO - AZUL - CELESTE",,0,,,,,,,,
89471,,"Identificador de mochila - Personalizado",1,,,9000,https://etiquecosas.ar/wp-content/uploads/2025/03/identificador-corazon.jpg,"Modelo",Corazón,,0,,,,,,,,
90342,,"Parches bordados planchables",1,6,,3905,https://etiquecosas.ar/wp-content/uploads/2025/04/chupa_chups.jpg,"Modelos parches","Chupa chups",,1,,,,,,,,
90413,,"Combo JARDÍN temáticas",1,,,22262,https://etiquecosas.ar/wp-content/uploads/2025/05/portada-tematicas-positive.jpg,"Temático",POSITIVE,,0,,,,,,,,
90498,,"Etiquetas de vinilo PARA PLANCHAR - POSITIVE",1,,,7999,,"Cantidad","11 Etiquetas",,0,,,,,,,,
91358,,"Diseños transfer con relieve",1,,,6005,https://etiquecosas.ar/wp-content/uploads/2025/06/disenos-en-relieve-i-am-not-perfect-negro.jpg,"Modelo relieve","I AM NOT PERFECT (negro)",,1,,,,,,,,
91600,,"Zapatilla didáctica de aprendizaje",1,15,,8600,https://etiquecosas.ar/wp-content/uploads/2025/06/colores-cordones.jpg,Color,Rosa,,1,,,,,,,,
91640,,"Zapatilla didáctica de aprendizaje - Personalizada con nombre",1,28,,11499,https://etiquecosas.ar/wp-content/uploads/2025/06/colores-cordones.jpg,Color,Rosa,,1,,,,,,,,
91735,,"Set de imanes LEGO®",1,6,,22488,https://etiquecosas.ar/wp-content/uploads/2025/06/lego-imanes-06.jpg,Color,Amarillo,,1,,,,,,,,
91762,,"Contenedor Storage Head Mini LEGO®",1,7,,31368,https://etiquecosas.ar/wp-content/uploads/2025/06/LEGO-Storage-Head-Mini-boy.jpg,Modelo,BOY,,1,,,,,,,,
91823,,"Classic Box - Bloque organizador multiuso LEGO®",0,0,,36600,https://etiquecosas.ar/wp-content/uploads/2025/07/lego-imanes-32.jpg,Color,Amarillo,,1,,,,,,,,
91843,,"Valija con manija de silicona LEGO®",1,3,,69000,https://etiquecosas.ar/wp-content/uploads/2025/07/valija-lego-01-2.jpg,Color,Azul,,1,,,,,,,,
91901,,"Botella de Hidratación LEGO® - 500 ml",1,6,,40968,https://etiquecosas.ar/wp-content/uploads/2025/07/lego-botellas-15.jpg,Color,Azul,,1,,,,,,,,
92060,,"Valija organizadora LEGO®",1,1,,47880,https://etiquecosas.ar/wp-content/uploads/2025/07/valija-lego-14.jpg,Color,Azul,,1,,,,,,,,
92924,,"Taza LEGO® de Cerámica",1,8,,44520,https://etiquecosas.ar/wp-content/uploads/2025/08/Taza-lego-girl.webp,Modelo,GIRL,,1,,,,,,,,
699,,"¡COMBO YA! Sello + etiquetas para escribir",1,37,,38999,https://etiquecosas.ar/wp-content/uploads/2020/01/pack-nene-scaled.jpg,"Etiqueta","Linea Azul",,0,,,,,,,,
714,,"Combo COLONIA",1,,,40899,https://etiquecosas.ar/wp-content/uploads/2020/01/pack-nene-scaled.jpg,"Etiqueta",,,0,"Seleccionar TAG",,,0,,,,
791,,"Etiquetas linea ""escribí vos"" - para objetos y utiles",1,,,5296,https://etiquecosas.ar/wp-content/uploads/2020/01/pack-nene-scaled.jpg,"Etiqueta","Linea Azul",,0,,,,,,,,
871,,"Etiquetas para alergias PERSONALIZADAS",1,,,10890,,"Seleccionar ICONO","SIN TACC",,0,"color",VERDE,,0,,,,
966,,"100 etiquetas SUPER MINI para lapices y marcadores",1,,,10890,https://etiquecosas.ar/wp-content/uploads/2020/01/gama1.jpg,"Color","ROJO - AZUL - CELESTE",,0,,,,,,,,
1057,,"Tarjetas mes a mes - MI PRIMER AÑO",1,2,,8249,,"Modelo combo",Bambi,,0,,,,,,,,
1319,,Contacto,1,,,185,,,,,,,,,,,,,
1327,,"Etiquetas para frascos chicos CHAPLIN",1,,,3168,https://etiquecosas.ar/wp-content/uploads/2020/06/MODELO-2.jpg,"Modelo","MODELO 2",,0,,,,,,,,
1413,,"Etiquetas para frascos personalizadas - VOS ELEGIS LO QUE DICEN",1,,,9900,https://etiquecosas.ar/wp-content/uploads/2020/07/corona-grande.jpg,"Modelo","CHAPLIN chicas Frente (18 u.)",,0,,,,,,,,
1459,,"Etiquetas COMBINADAS - 2 tamaños",1,,,10890,,"SELECCIONAR COMBINACION","MAXI - SUPERMINI",,0,,,,,,,,
1564,,"TAGS colgantes de cartón",1,,,37200,,"Cantidad","100 tags",,0,,,,,,,,
1584,,"Etiquetas PARA COSER 6 x 1 cm",1,,,21999,,"Cantidad","48 unidades",,0,,,,,,,,
1588,,"Etiquetas PARA PLANCHAR 6 x 1 cm",1,,,25999,,"Cantidad","48 unidades",,0,,,,,,,,
1590,,"Etiquetas TERMOADHESIVAS 6 x 2,5 cm",1,,,27999,,"Cantidad","26 unidades",,0,,,,,,,,
1601,,"Etiquetas autoadhesivas con tu MARCA. Medidas a elección - 3,5 cm (70 etiquetas)",1,,,9500,,"SELECCIONAR MEDIDA","3\,5 cm (70 etiquetas)",,0,,,,,,,,
1609,,"Etiquetas de tela PARA COSER",1,,,21999,,"Cantidad","48 etiquetas",,0,,,,,,,,
1611,,"Etiquetas de tela PARA PLANCHAR",1,,,25999,,"Cantidad","48 etiquetas",,0,,,,,,,,
2026,,"Etiquetas LIMPIEZA Y CUIDADO PERSONAL",1,,,9900,https://etiquecosas.ar/wp-content/uploads/2020/07/jabon-liquido.png,"Modelo",PERSONALIZADAS,,0,,,,,,,,
2078,,"Etiquetas para frascos CORONA",1,,,9900,,"SELECCIONAR OPCION","PERSONALIZADA chico (21 etiquetas)",,0,,,,,,,,
2081,,"Etiquetas para frascos FONDO TRANSPARENTE",1,,,9900,,"SELECCIONAR OPCION",PERSONALIZADA,,0,,,,,,,,
2452,,"SELLO DE MADERA. Medida chica/mediana",1,,,12414,,"SELECCIONAR TAMAÑO","4 cm",,0,,,,,,,,
2504,,"Almohadilla entintada para sellos de madera. 3 medidas",1,,,12450,,"SELECCIONAR MEDIDA","Micro 2 (7 x 11 cm) Para sellos hasta 7 cm",,0,,,,,,,,
3612,,"Etiquetas para identificar vasos y cubiertos NAVIDAD + Marcador",1,9,,6200,,"Cantidad","x 40 etiquetas",,0,,,,,,,,
3615,,"Etiquetas para identificar vasos y cubiertos + Marcador",1,,,7903,,"Cantidad","x 40 etiquetas",,0,,,,,,,,
10837,,"Etiquetas para cumpleaños - 3,5 cm",1,,,9500,https://etiquecosas.ar/wp-content/uploads/2021/05/circulos-web-dino-5cm.jpg,"SELECCIONAR DISEÑO",DINOSAURIOS,,0,,,,,,,,
